iteration,0,1,2,3,4,5,6,7,8,9,10,11,12
3700,29566,9041,9865,6577,1651,304,61,11,1,0,0,0,0
3710,29560,9120,9742,6609,1673,297,64,11,1,0,0,0,0
3720,29575,9035,9828,6620,1647,305,58,7,2,0,0,0,0
3730,29533,9068,9883,6582,1642,298,61,7,3,0,0,0,0
3740,29614,8960,9878,6621,1620,309,57,13,5,0,0,0,0
3750,29501,9033,9986,6589,1621,276,60,7,4,0,0,0,0
3760,29535,9033,9912,6608,1632,287,57,13,0,0,0,0,0
3770,29579,8988,9895,6619,1633,286,62,12,3,0,0,0,0
3780,29608,8932,9895,6690,1573,299,63,16,1,0,0,0,0
3790,29544,9003,9918,6668,1579,286,66,12,1,0,0,0,0
3800,29568,9001,9881,6624,1653,282,57,10,1,0,0,0,0
3810,29570,9014,9885,6603,1629,299,68,7,2,0,0,0,0
3820,29523,9023,9944,6639,1579,292,69,5,3,0,0,0,0
3830,29591,8924,9939,6682,1565,307,54,10,5,0,0,0,0
3840,29604,8960,9912,6599,1624,289,73,11,5,0,0,0,0
3850,29601,8949,9931,6592,1619,310,62,12,1,0,0,0,0
3860,29541,9023,9911,6632,1615,273,66,13,3,0,0,0,0
3870,29549,9050,9910,6548,1641,292,73,11,3,0,0,0,0
3880,29524,9122,9821,6620,1596,312,67,13,2,0,0,0,0
3890,29575,9009,9845,6688,1582,298,66,12,2,0,0,0,0
3900,29508,9078,9943,6553,1620,294,66,13,1,1,0,0,0
3910,29544,9066,9859,6585,1665,285,60,12,0,1,0,0,0
3920,29549,9027,9911,6590,1637,283,66,13,1,0,0,0,0
3930,29541,9034,9868,6674,1598,293,57,10,2,0,0,0,0
3940,29537,9066,9841,6661,1608,286,68,7,0,3,0,0,0
3950,29475,9167,9833,6621,1623,276,69,10,2,1,0,0,0
3960,29527,9097,9830,6639,1618,281,73,8,4,0,0,0,0
3970,29490,9136,9862,6625,1584,299,60,18,2,1,0,0,0
3980,29532,9082,9861,6586,1673,257,70,12,2,2,0,0,0
3990,29508,9120,9853,6621,1598,286,76,11,3,1,0,0,0
4000,29499,9123,9907,6523,1657,288,61,16,2,1,0,0,0
4010,29504,9104,9886,6588,1641,275,59,17,2,1,0,0,0
4020,29544,9088,9860,6548,1652,310,61,11,3,0,0,0,0
4030,29499,9101,9928,6532,1664,272,63,14,4,0,0,0,0
4040,29528,9100,9921,6459,1684,307,61,15,2,0,0,0,0
4050,29531,9072,9930,6540,1603,310,77,11,3,0,0,0,0
4060,29480,9171,9854,6549,1664,277,66,14,2,0,0,0,0
