iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2750,22001,6604,5380,2992,1458,698,354,151,65,26,9,4,1,0,0,0,0,0,0
2760,21911,6737,5395,2955,1455,654,358,175,64,27,5,3,2,2,0,0,0,0,0
2770,21845,6744,5437,3005,1430,706,332,142,65,22,10,4,1,0,0,0,0,0,0
2780,21848,6763,5525,2849,1425,737,333,171,47,27,15,2,1,0,0,0,0,0,0
2790,21962,6694,5358,2954,1454,709,352,149,67,30,8,3,3,0,0,0,0,0,0
2800,21870,6778,5457,2896,1415,698,367,154,63,32,7,3,1,2,0,0,0,0,0
2810,21991,6652,5372,2935,1468,726,343,139,72,25,15,2,3,0,0,0,0,0,0
2820,21897,6800,5245,3040,1504,674,313,161,63,32,8,2,4,0,0,0,0,0,0
2830,21922,6749,5371,2874,1535,697,338,149,62,29,12,3,2,0,0,0,0,0,0
2840,21904,6725,5477,2820,1507,718,325,160,65,29,9,3,1,0,0,0,0,0,0
2850,21948,6748,5345,2900,1462,729,350,149,65,30,11,4,1,1,0,0,0,0,0
2860,21867,6864,5292,2933,1496,681,355,136,67,36,12,3,1,0,0,0,0,0,0
2870,21912,6780,5365,2847,1503,734,358,151,61,15,10,3,3,1,0,0,0,0,0
2880,21866,6779,5372,2933,1533,682,328,152,56,27,11,3,0,1,0,0,0,0,0
2890,21918,6730,5383,2900,1502,726,333,154,59,23,12,2,1,0,0,0,0,0,0
2900,21887,6830,5316,2874,1531,693,368,151,54,23,11,4,1,0,0,0,0,0,0
2910,21801,6889,5400,2860,1488,727,329,145,60,28,13,1,1,1,0,0,0,0,0
2920,21860,6761,5420,2911,1525,688,338,134,74,15,15,0,1,0,1,0,0,0,0
2930,21851,6820,5390,2904,1460,743,331,143,54,27,12,4,3,0,1,0,0,0,0
2940,21894,6752,5340,2959,1517,705,339,150,45,27,12,2,1,0,0,0,0,0,0
2950,21907,6678,5437,2938,1484,727,329,153,55,29,6,0,0,0,0,0,0,0,0
2960,21892,6693,5400,2967,1536,706,316,143,57,17,11,2,2,1,0,0,0,0,0
2970,22083,6559,5311,2940,1521,746,336,143,59,27,10,3,3,1,1,0,0,0,0
2980,21849,6707,5500,2938,1472,697,347,140,64,23,4,0,0,0,2,0,0,0,0
2990,21824,6807,5385,2985,1486,676,331,149,60,27,9,3,1,0,0,0,0,0,0
