iteration,systemTime-ms,numObservedEntities,logLikelihood,aggDist-IREG,aggDist-SESSO,aggDist-ANASCI,aggDist-STUDIO,aggDist-PAR,aggDist-STACIV,aggDist-PERC,aggDist-CFDIC,recDistortion-0,recDistortion-1,recDistortion-2,recDistortion-3,recDistortion-4,recDistortion-5,recDistortion-6,recDistortion-7,recDistortion-8
2000,1540808531099,17877,-5.752335205e+05,7405,585,146,261,51,154,319,68,31075,8351,313,4,0,0,0,0,0
2010,1540808535280,17871,-5.755588558e+05,7578,532,141,321,65,149,300,67,30860,8614,268,1,0,0,0,0,0
2020,1540808540587,17869,-5.740492020e+05,7240,529,148,283,56,128,268,70,31280,8209,250,3,1,0,0,0,0
2030,1540808544951,17830,-5.739623289e+05,7313,519,146,284,38,127,251,96,31245,8226,268,4,0,0,0,0,0
2040,1540808550861,17838,-5.752475915e+05,7447,522,111,253,64,138,340,73,31068,8403,271,1,0,0,0,0,0
2050,1540808555023,17872,-5.749928733e+05,7420,602,123,259,68,122,254,115,31046,8435,258,4,0,0,0,0,0
2060,1540808560303,17909,-5.747102919e+05,7439,569,116,208,58,149,289,81,31097,8385,259,2,0,0,0,0,0
2070,1540808564544,17854,-5.745968382e+05,7419,534,141,235,61,119,296,66,31130,8355,258,0,0,0,0,0,0
2080,1540808569621,17786,-5.757186656e+05,7596,597,132,268,36,110,286,72,30921,8552,265,5,0,0,0,0,0
2090,1540808573617,17854,-5.754495908e+05,7512,551,156,253,65,158,303,82,30954,8499,289,1,0,0,0,0,0
2100,1540808579937,17823,-5.756068381e+05,7542,541,150,237,53,119,331,75,30957,8525,260,1,0,0,0,0,0
2110,1540808584082,17871,-5.755884911e+05,7687,555,152,242,36,113,331,66,30821,8667,250,5,0,0,0,0,0
2120,1540808589352,17828,-5.766904919e+05,7766,547,133,289,71,106,356,85,30680,8775,286,2,0,0,0,0,0
2130,1540808593643,17859,-5.757196594e+05,7628,512,140,293,62,135,304,79,30856,8625,258,4,0,0,0,0,0
